POA,Population (2006),Population (2011),Population (2016),Population (2021)
3498,2146.0,2007.0,2101.0,2387.0
3500,12576.0,14000.0,15065.0,15748.0
3501,772.0,724.0,713.0,809.0
3505,1857.0,1926.0,1928.0,2100.0
3506,,,22.0,17.0
3507,56.0,224.0,84.0,95.0
3509,140.0,102.0,126.0,120.0
3512,259.0,322.0,216.0,187.0
3515,436.0,357.0,730.0,918.0
3516,338.0,356.0,341.0,384.0
3517,756.0,818.0,739.0,776.0
3518,725.0,828.0,839.0,831.0
3520,109.0,155.0,110.0,116.0
3521,296.0,319.0,281.0,302.0
3522,174.0,275.0,166.0,206.0
3523,1913.0,2048.0,2158.0,2390.0
3525,773.0,687.0,694.0,783.0
3527,417.0,438.0,439.0,411.0
3529,108.0,,43.0,54.0
3530,57.0,177.0,72.0,90.0
3531,160.0,160.0,82.0,99.0
3533,375.0,442.0,421.0,441.0
3537,584.0,594.0,513.0,565.0
3540,213.0,185.0,162.0,151.0
3542,77.0,96.0,67.0,72.0
3544,119.0,182.0,127.0,138.0
3546,215.0,221.0,198.0,183.0
3549,1563.0,1574.0,1514.0,1490.0
3550,17433.0,18139.0,19451.0,19911.0
3551,7275.0,8952.0,10933.0,13137.0
3555,7349.0,8218.0,9065.0,9584.0
3556,4404.0,5007.0,5903.0,6248.0
3557,310.0,268.0,337.0,362.0
3558,434.0,502.0,496.0,510.0
3559,179.0,312.0,284.0,296.0
3561,2289.0,2109.0,2017.0,2102.0
3562,142.0,135.0,128.0,139.0
3563,350.0,361.0,365.0,371.0
3564,6254.0,6703.0,7153.0,7743.0
3565,,,50.0,54.0
3566,295.0,295.0,289.0,306.0
3567,228.0,288.0,318.0,337.0
3568,1464.0,1406.0,1452.0,1468.0
3570,402.0,248.0,319.0,377.0
3571,182.0,155.0,151.0,140.0
3572,,95.0,66.0,63.0
3573,205.0,256.0,161.0,175.0
3575,496.0,464.0,437.0,429.0
3576,,,38.0,33.0
3579,2702.0,2637.0,2687.0,2714.0
3580,427.0,439.0,513.0,548.0
3581,107.0,159.0,98.0,68.0
3583,,,90.0,74.0
3584,619.0,623.0,491.0,561.0
3585,,,5062.0,5239.0
3586,124.0,320.0,300.0,317.0
3588,119.0,123.0,151.0,166.0
3589,329.0,127.0,151.0,169.0
3590,88.0,150.0,126.0,135.0
3591,240.0,124.0,69.0,74.0
3594,283.0,249.0,268.0,305.0
3595,217.0,314.0,302.0,327.0
3596,,71.0,49.0,49.0
3597,303.0,253.0,210.0,251.0
3599,97.0,,85.0,80.0
3607,,,66.0,77.0
3608,1376.0,1308.0,1446.0,1614.0
3610,658.0,674.0,683.0,717.0
