POA,Population (2006),Population (2011),Population (2016),Population (2021)
3854,509.0,559.0,534.0,564.0
3856,345.0,364.0,388.0,448.0
3857,240.0,157.0,150.0,169.0
3858,1122.0,1389.0,1405.0,1503.0
3859,562.0,369.0,380.0,421.0
3860,2980.0,3287.0,3449.0,3608.0
3862,1201.0,1462.0,1409.0,1601.0
3864,,181.0,102.0,111.0
3865,135.0,177.0,185.0,221.0
3869,507.0,610.0,677.0,745.0
3870,670.0,732.0,618.0,648.0
3871,1141.0,1241.0,1298.0,1380.0
3873,,200.0,134.0,141.0
3874,385.0,387.0,404.0,482.0
3875,6740.0,7750.0,8552.0,9198.0
3878,585.0,391.0,557.0,706.0
3880,2158.0,2477.0,2585.0,2799.0
3882,647.0,444.0,492.0,569.0
3885,871.0,840.0,901.0,961.0
3886,152.0,190.0,179.0,184.0
3887,77.0,161.0,171.0,159.0
3888,1953.0,2042.0,2023.0,2068.0
3889,162.0,291.0,179.0,160.0
3890,244.0,128.0,237.0,234.0
3891,206.0,151.0,117.0,73.0
3892,755.0,785.0,864.0,816.0
3893,,,21.0,18.0
3895,211.0,133.0,126.0,146.0
3896,179.0,273.0,240.0,254.0
3898,581.0,686.0,827.0,619.0
3900,235.0,224.0,126.0,107.0
3902,277.0,187.0,188.0,216.0
3903,,328.0,370.0,395.0
3904,898.0,906.0,986.0,1216.0
3909,4243.0,4365.0,4578.0,5031.0
3910,7230.0,8101.0,8710.0,9084.0
3911,1143.0,1264.0,1319.0,1402.0
3912,5330.0,5462.0,5710.0,6027.0
3913,997.0,1257.0,1273.0,1331.0
3915,3274.0,3947.0,4501.0,4838.0
3916,671.0,540.0,767.0,810.0
3918,1137.0,1298.0,1470.0,1750.0
3919,1100.0,1229.0,1355.0,1402.0
3920,137.0,117.0,112.0,109.0
3921,87.0,98.0,101.0,134.0
3922,7313.0,8114.0,8759.0,9794.0
3923,449.0,566.0,487.0,605.0
3925,2499.0,2770.0,2944.0,3230.0
3926,1786.0,1874.0,1830.0,1903.0
3927,1050.0,1100.0,1201.0,1254.0
3928,397.0,294.0,277.0,292.0
3929,809.0,921.0,945.0,1021.0
3930,6424.0,6607.0,6820.0,6887.0
3931,9869.0,10518.0,11322.0,11954.0
3933,331.0,378.0,375.0,387.0
3934,6752.0,7547.0,8167.0,8496.0
3936,6136.0,6965.0,8021.0,8905.0
3937,957.0,1152.0,885.0,903.0
3938,1714.0,1833.0,2002.0,2137.0
3939,7854.0,8595.0,9002.0,9606.0
3940,3267.0,3270.0,3581.0,3768.0
3941,11012.0,11493.0,11852.0,12061.0
